source_file,webp,jpg,category,alt_text,caption,sensitivity_notes,approved
20250611_120433.jpg,nova-titan-structured-cabling-blue-cat6-patch-panel-rack-west-texas-01.webp,nova-titan-structured-cabling-blue-cat6-patch-panel-rack-west-texas-01.jpg,Structured Cabling,Structured cabling rack with blue Cat6 patch cables and organized cable management for a commercial network installation in West Texas.,Structured cabling rack with organized Cat6 patching and commercial network equipment.,No sensitive data visible; optimized only.,yes
20260427_191322.jpg,nova-titan-commercial-network-rack-att-velocity-bandwidth-manager-west-texas-01.webp,nova-titan-commercial-network-rack-att-velocity-bandwidth-manager-west-texas-01.jpg,Network Infrastructure,"Commercial network rack with AT&T demarc equipment, Velocity bandwidth manager, Fortinet appliances, and structured patching for a West Texas business.","Network rack with carrier demarc, bandwidth management, firewall, switching, and patching.",Blurred customer/site label areas.,yes
20260427_191626.jpg,nova-titan-commercial-nvr-poe-switch-rack-hikvision-lorex-west-texas-01.webp,nova-titan-commercial-nvr-poe-switch-rack-hikvision-lorex-west-texas-01.jpg,Security Camera Infrastructure,"Commercial rack with Hikvision NVR, Lorex recorder, Ruckus switch, PoE cabling, and network support equipment.","NVR, PoE switching, and network rack support for a commercial camera infrastructure environment.",Blurred asset/site label area.,yes
20260112_115231.jpg,nova-titan-fortinet-fortiswitch-commercial-rack-patch-panel-west-texas-01.webp,nova-titan-fortinet-fortiswitch-commercial-rack-patch-panel-west-texas-01.jpg,Network Infrastructure,Fortinet firewall and FortiSwitch equipment installed in a commercial network rack with patch panel support.,"Fortinet firewall, switching, and rack-mounted network support equipment.",Blurred small site/service label area.,yes
20260413_101722.jpg,nova-titan-commercial-cctv-network-rack-white-cabling-west-texas-01.webp,nova-titan-commercial-cctv-network-rack-white-cabling-west-texas-01.jpg,Security Camera Infrastructure,"Commercial CCTV and network rack with white cabling, switch gear, and camera infrastructure support.","Commercial CCTV/network rack before cleanup or service support, with camera monitoring screen blurred for privacy.",Blurred live camera display and site/device labels.,yes
20260304_094021.jpg,nova-titan-dell-server-rack-pdu-storage-cabling-west-texas-01.webp,nova-titan-dell-server-rack-pdu-storage-cabling-west-texas-01.jpg,Server Room / MDF,"Dell server and storage rack with PDU equipment, organized cabling, and data center support hardware.",Dell server/storage rack with PDU hardware and cabling support.,Blurred handwritten site/store label.,yes
20260304_100324.jpg,nova-titan-full-dell-server-rack-after-install-west-texas-01.webp,nova-titan-full-dell-server-rack-after-install-west-texas-01.jpg,Server Room / MDF,"Full Dell server rack with storage, power distribution, and network equipment after field support work.",Full Dell server rack with network and power infrastructure support.,Blurred site/store label and visible shipping labels.,yes
20260406_111233.jpg,nova-titan-fortigate-40f-commercial-firewall-closeup-west-texas-01.webp,nova-titan-fortigate-40f-commercial-firewall-closeup-west-texas-01.jpg,Fortinet / Firewall,FortiGate 40F firewall closeup in a commercial rack with connected network cabling and support equipment.,FortiGate firewall installed in a commercial rack environment.,Blurred small equipment/service label.,yes
20260112_114235.jpg,nova-titan-fortigate-fortiswitch-eaton-ups-commercial-rack-01.webp,nova-titan-fortigate-fortiswitch-eaton-ups-commercial-rack-01.jpg,Fortinet / Firewall,"Commercial rack with Fortinet firewall, FortiSwitch, Eaton UPS, and structured cabling for network infrastructure support.","Fortinet firewall, switch, UPS, and rack-mounted network equipment.",Blurred small handwritten/device label.,yes
20260206_120929.jpg,nova-titan-fortinet-firewall-cisco-router-commercial-rack-01.webp,nova-titan-fortinet-firewall-cisco-router-commercial-rack-01.jpg,Fortinet / Firewall,Fortinet firewall installed with Cisco router and rack-mounted network equipment for commercial infrastructure support.,Fortinet firewall and Cisco router support in a commercial rack.,Blurred service/site label.,yes
20260413_100124.jpg,nova-titan-dual-fortinet-firewalls-cradlepoint-wan-failover-01.webp,nova-titan-dual-fortinet-firewalls-cradlepoint-wan-failover-01.jpg,Cradlepoint / WAN Failover,Dual Fortinet firewalls with Cradlepoint WAN failover equipment in a commercial network rack.,Dual firewall and Cradlepoint WAN failover installation.,Blurred device/site label areas.,yes
20260413_100133.jpg,nova-titan-cradlepoint-fortinet-wan-failover-rack-west-texas-01.webp,nova-titan-cradlepoint-fortinet-wan-failover-rack-west-texas-01.jpg,Cradlepoint / WAN Failover,Commercial rack with Fortinet firewall equipment and Cradlepoint WAN failover support for resilient connectivity.,Cradlepoint and Fortinet WAN failover equipment in a commercial rack.,Blurred device/site label areas.,yes
20260112_120321.jpg,nova-titan-starlink-rooftop-dish-mount-commercial-wireless-01.webp,nova-titan-starlink-rooftop-dish-mount-commercial-wireless-01.jpg,Starlink / Rooftop Wireless,Starlink rooftop dish mount installed for commercial wireless internet support in West Texas.,Starlink rooftop dish mount for commercial wireless connectivity.,No sensitive data visible; optimized only.,yes
20260112_120330.jpg,nova-titan-starlink-rooftop-mount-aerial-view-west-texas-01.webp,nova-titan-starlink-rooftop-mount-aerial-view-west-texas-01.jpg,Starlink / Rooftop Wireless,Aerial view of Starlink rooftop mount and field installation for commercial wireless support.,Starlink rooftop mount and wireless field installation.,No sensitive data visible; optimized only.,yes
20260213_090400.jpg,nova-titan-starlink-rooftop-parapet-mount-west-texas-01.webp,nova-titan-starlink-rooftop-parapet-mount-west-texas-01.jpg,Starlink / Rooftop Wireless,Starlink dish mounted on a rooftop parapet for commercial wireless internet service.,Starlink rooftop parapet mount for wireless service.,No sensitive data visible; optimized only.,yes
20251002_112514.jpg,nova-titan-rooftop-wireless-camera-mount-cabling-west-texas-01.webp,nova-titan-rooftop-wireless-camera-mount-cabling-west-texas-01.jpg,Starlink / Rooftop Wireless,Exterior rooftop wireless or camera mount with clean cable pathway on a commercial building.,Exterior wireless/camera mount with cabling support.,No sensitive data visible; optimized only.,yes
20260413_101652.jpg,nova-titan-server-room-entry-mdf-commercial-network-support-01.webp,nova-titan-server-room-entry-mdf-commercial-network-support-01.jpg,Server Room / MDF,Server room entry and MDF area showing commercial network infrastructure and rack support environment.,Server room/MDF environment for commercial network infrastructure support.,No sensitive data visible; optimized only.,yes
20260417_102345.jpg,nova-titan-complex-mdf-bas-rack-conduit-cabling-west-texas-01.webp,nova-titan-complex-mdf-bas-rack-conduit-cabling-west-texas-01.jpg,Server Room / MDF,"Complex MDF and building automation rack with conduit, cabling pathways, and network infrastructure support.",MDF/BAS rack with conduit and structured pathway support.,Blurred small equipment label area.,yes
20260417_102055.jpg,nova-titan-raycom-power-distribution-cisco-telecom-rack-01.webp,nova-titan-raycom-power-distribution-cisco-telecom-rack-01.jpg,Server Room / MDF,Raycom power distribution and Cisco telecom rack equipment with structured cabling and conduit support.,Power distribution and telecom rack support with structured cabling.,No sensitive data visible; optimized only.,yes
20260112_132400.jpg,nova-titan-fortinet-wireless-access-point-ceiling-mount-01.webp,nova-titan-fortinet-wireless-access-point-ceiling-mount-01.jpg,Wireless / Wi-Fi Infrastructure,Fortinet wireless access point mounted on a commercial ceiling tile for business Wi-Fi infrastructure.,Fortinet wireless access point ceiling installation.,No sensitive data visible; optimized only.,yes
20260112_121341.jpg,nova-titan-low-voltage-cable-bundle-wall-pathway-west-texas-01.webp,nova-titan-low-voltage-cable-bundle-wall-pathway-west-texas-01.jpg,Structured Cabling Pathway,Low-voltage cable bundle routed through a wall pathway for commercial network cabling support.,Low-voltage cable pathway and wall routing for network infrastructure.,No sensitive data visible; optimized only.,yes
20260112_115224.jpg,nova-titan-labeled-pdu-fortinet-fortiswitch-amp-rack-closeup-01.webp,nova-titan-labeled-pdu-fortinet-fortiswitch-amp-rack-closeup-01.jpg,Audio / AV + Network Rack,"Labeled rack power and network connections for modem, FortiGate firewall, FortiSwitch, and amplifier equipment.","Labeled rack power and network connections for firewall, switch, modem, and amplifier.",Generic labels retained; no sensitive customer data visible.,yes
20260204_111640.jpg,nova-titan-audio-network-rack-fortinet-fortiswitch-crown-amp-01.webp,nova-titan-audio-network-rack-fortinet-fortiswitch-crown-amp-01.jpg,Audio / AV + Network Rack,"Commercial audio and network rack with Fortinet firewall, FortiSwitch, and amplifier equipment.",Audio/network rack integration with Fortinet equipment and amplifier support.,No sensitive data visible; optimized only.,yes
20260427_204621.jpg,nova-titan-network-speedtest-verification-cisco-equipment-01.webp,nova-titan-network-speedtest-verification-cisco-equipment-01.jpg,Testing / Verification,Laptop speed test verification with commercial Cisco network equipment in the background.,Network speed test verification after field support work.,Blurred browser/header area; no IPs or account details exposed.,yes
20251002_153144.jpg,nova-titan-fiber-ont-wall-mount-commercial-network-support-01.webp,nova-titan-fiber-ont-wall-mount-commercial-network-support-01.jpg,Fiber / ONT Support,Clean fiber ONT or modem wall mount with fiber drop and network cabling for commercial connectivity support.,Fiber/ONT wall mount and network connectivity support.,Blurred small label area.,yes
